first_currency;second_currency;UNIX timestamp;open;high;low;close;volume
BTC;USDT;1,53325E+12;7600.08;7709.46;7455.72;7525.71;37665.7
BTC;USDT;1,53334E+12;7525.71;7540;7282.44;7418.78;44669.5
BTC;USDT;1,53343E+12;7412.27;7494.81;6926;7009.84;36288.4
BTC;USDT;1,53351E+12;7009.84;7089.87;6882.29;7024.19;32894.9
BTC;USDT;1,5336E+12;7024.19;7160;6821;6934.82;32760.2
BTC;USDT;1,53369E+12;6935;7150.46;6670;6720.06;45438.5
BTC;USDT;1,53377E+12;6720.63;6721.54;6123;6285;59550.5
BTC;USDT;1,53386E+12;6283.27;6622.81;6178.6;6529.79;51941.2
BTC;USDT;1,53395E+12;6529.79;6575.88;6026.39;6144.01;59035
BTC;USDT;1,53403E+12;6148.13;6488;5971;6232.35;47133.4
BTC;USDT;1,53412E+12;6222.55;6472.3;6130;6308.33;38567.8
BTC;USDT;1,5342E+12;6308.56;6545;6145.04;6246.35;53895.8
BTC;USDT;1,53429E+12;6248.25;6250.33;5880;6188.08;50186.7
BTC;USDT;1,53438E+12;6188.08;6609;6172.11;6267.16;68806.7
BTC;USDT;1,53446E+12;6265.27;6480;6205.6;6311.75;48515.3
BTC;USDT;1,53455E+12;6316;6585;6285.4;6584.49;57851.6
BTC;USDT;1,53464E+12;6579.04;6620;6288;6387.96;53742.3
BTC;USDT;1,53472E+12;6387.96;6541;6300;6477.53;45190.8
